,geometry,GCX_OID,Address,Legal Description,Legal Type,Folio,PID,Additional PIDs,Plan Number,Land Use Code,Zoning,Zoning Description,Garbage Zone,Approximate Site Area (m²),Street View
28,Geocortex.Gis.Geometries.Polygon,28,1154 HOMESTEADER CRT,"LOT 50, DISTRICT LOT 344, NEW WEST DISTRICT, PLAN NWP79870",LAND,286009-050,012-487-481,No,79870,No,RS2,RESIDENTIAL SINGLE DWELLING 2,4.0,797.352294921875,Click for Google StreetView
30,Geocortex.Gis.Geometries.Polygon,30,2683 FORTRESS DR,"LOT 21, DISTRICT LOT 344, NEW WEST DISTRICT, PLAN LMP1329",LAND,286023-021,017-531-942,No,LMP1329,No,RS1,RESIDENTIAL SINGLE DWELLING 1,4.0,554.05029296875,Click for Google StreetView
33,Geocortex.Gis.Geometries.Polygon,33,1120 SETTLERS CRT,"LOT 28, DISTRICT LOT 344, NEW WEST DISTRICT, PLAN NWP79870",LAND,286009-028,012-487-261,No,79870,No,RS2,RESIDENTIAL SINGLE DWELLING 2,4.0,585.061767578125,Click for Google StreetView
36,Geocortex.Gis.Geometries.Polygon,36,1121 COUTTS WAY,"LOT 14, DISTRICT LOT 169, NEW WEST DISTRICT, PLAN NWP85450",LAND,226012-014,016-073-657,No,85450,No,RS2,RESIDENTIAL SINGLE DWELLING 2,4.0,450.56787109375,Click for Google StreetView
41,Geocortex.Gis.Geometries.Polygon,41,2625 FORTRESS DR,"LOT 2, DISTRICT LOT 168&344, NEW WEST DISTRICT, PLAN LMP5352",LAND,286024-002,017-850-355,No,LMP5352,No,RS1,RESIDENTIAL SINGLE DWELLING 1,4.0,516.6259765625,Click for Google StreetView
45,Geocortex.Gis.Geometries.Polygon,45,2686 FORTRESS DR,"LOT 13, DISTRICT LOT 344, NEW WEST DISTRICT, PLAN LMP1329",LAND,286023-013,017-531-861,No,LMP1329,No,RS1,RESIDENTIAL SINGLE DWELLING 1,4.0,621.94140625,Click for Google StreetView
50,Geocortex.Gis.Geometries.Polygon,50,2651 FORTRESS DR,"LOT 14, DISTRICT LOT 168&344, NEW WEST DISTRICT, PLAN LMP5352",LAND,286024-014,017-850-614,No,LMP5352,No,RS1,RESIDENTIAL SINGLE DWELLING 1,4.0,563.022216796875,Click for Google StreetView
52,Geocortex.Gis.Geometries.Polygon,52,757 CAPITAL CRT,"LOT 55, DISTRICT LOT 344, NEW WEST DISTRICT, PLAN LMP1329",LAND,286023-055,017-532-281,No,LMP1329,No,RS1,RESIDENTIAL SINGLE DWELLING 1,5.0,1190.0,Click for Google StreetView
54,Geocortex.Gis.Geometries.Polygon,54,827 CITADEL DR,"LOT 36, DISTRICT LOT 344, NEW WEST DISTRICT, PLAN NWP84882",LAND,286018-036,015-889-670,No,84882,No,RS1,RESIDENTIAL SINGLE DWELLING 1,4.0,587.61669921875,Click for Google StreetView
55,Geocortex.Gis.Geometries.Polygon,55,2696 PIONEER WAY,"LOT 96, DISTRICT LOT 344, NEW WEST DISTRICT, PLAN NWP81973, GROUP 1",LAND,286009-096,014-380-391,No,81973,No,RS2,RESIDENTIAL SINGLE DWELLING 2,4.0,588.178955078125,Click for Google StreetView
56,Geocortex.Gis.Geometries.Polygon,56,1159 CONFEDERATION DR,"LOT 39, DISTRICT LOT 344, NEW WEST DISTRICT, PLAN NWP79870, GROUP 1",LAND,286009-039,012-487-376,No,79870,No,RS1,RESIDENTIAL SINGLE DWELLING 1,4.0,551.038330078125,Click for Google StreetView
59,Geocortex.Gis.Geometries.Polygon,59,765 CITADEL DR,"LOT 37, DISTRICT LOT 344, NEW WEST DISTRICT, PLAN LMP1329, GROUP 1",LAND,286023-037,017-532-108,No,LMP1329,No,RS1,RESIDENTIAL SINGLE DWELLING 1,4.0,604.540283203125,Click for Google StreetView
64,Geocortex.Gis.Geometries.Polygon,64,745 CAPITAL CRT,"LOT 58, DISTRICT LOT 344, NEW WEST DISTRICT, PLAN LMP1329",LAND,286023-058,017-532-311,No,LMP1329,No,RS1,RESIDENTIAL SINGLE DWELLING 1,5.0,1350.0,Click for Google StreetView
67,Geocortex.Gis.Geometries.Polygon,67,2642 HOMESTEADER WAY,"LOT 93, DISTRICT LOT 344, NEW WEST DISTRICT, PLAN NWP81973",LAND,286009-093,014-380-340,No,81973,No,RS2,RESIDENTIAL SINGLE DWELLING 2,4.0,502.72314453125,Click for Google StreetView
70,Geocortex.Gis.Geometries.Polygon,70,2622 FORTRESS DR,"LOT 9, DISTRICT LOT 344, NEW WEST DISTRICT, PLAN NWP84882",LAND,286018-009,015-889-408,No,84882,No,RS2,RESIDENTIAL SINGLE DWELLING 2,4.0,511.681396484375,Click for Google StreetView
73,Geocortex.Gis.Geometries.Polygon,73,2651 FORTRESS CRT,"LOT 46, DISTRICT LOT 344, NEW WEST DISTRICT, PLAN NWP84882",LAND,286018-046,015-889-785,No,84882,No,RS1,RESIDENTIAL SINGLE DWELLING 1,4.0,533.398193359375,Click for Google StreetView
74,Geocortex.Gis.Geometries.Polygon,74,863 PALADIN TERR,"LOT 62, DISTRICT LOT 344, NEW WEST DISTRICT, PLAN NWP84349, GROUP 1",LAND,286017-062,015-674-525,No,84349,No,RS1,RESIDENTIAL SINGLE DWELLING 1,5.0,946.542236328125,Click for Google StreetView
75,Geocortex.Gis.Geometries.Polygon,75,2569 PALISADE CRES,"LOT 56, DISTRICT LOT 344, NEW WEST DISTRICT, PLAN NWP84349",LAND,286017-056,015-674-398,No,84349,No,RS1,RESIDENTIAL SINGLE DWELLING 1,5.0,679.720947265625,Click for Google StreetView
76,Geocortex.Gis.Geometries.Polygon,76,2502 PALISADE CRES,"LOT 7, DISTRICT LOT 344, NEW WEST DISTRICT, PLAN NWP78118, GROUP 1",LAND,286017-007,011-395-095,No,78118,No,RS1,RESIDENTIAL SINGLE DWELLING 1,5.0,861.991943359375,Click for Google StreetView
77,Geocortex.Gis.Geometries.Polygon,77,2687 FORTRESS DR,"LOT 19, DISTRICT LOT 344, NEW WEST DISTRICT, PLAN LMP1329",LAND,286023-019,017-531-926,No,LMP1329,No,RS1,RESIDENTIAL SINGLE DWELLING 1,4.0,554.028076171875,Click for Google StreetView
80,Geocortex.Gis.Geometries.Polygon,80,2627 FORTRESS DR,"LOT 3, DISTRICT LOT 168, NEW WEST DISTRICT, PLAN LMP5352, GROUP 1, & DL 344",LAND,286024-003,017-850-371,No,LMP5352,No,RS1,RESIDENTIAL SINGLE DWELLING 1,4.0,604.0966796875,Click for Google StreetView
81,Geocortex.Gis.Geometries.Polygon,81,2525 PALISADE CRES,"LOT 21, DISTRICT LOT 344, NEW WEST DISTRICT, PLAN NWP78118",LAND,286017-021,011-395-249,No,78118,No,RS1,RESIDENTIAL SINGLE DWELLING 1,5.0,744.455322265625,Click for Google StreetView
83,Geocortex.Gis.Geometries.Polygon,83,2588 PALISADE CRES,"LOT 41, DISTRICT LOT 344, NEW WEST DISTRICT, PLAN NWP84349",LAND,286017-041,015-674-215,No,84349,No,RS1,RESIDENTIAL SINGLE DWELLING 1,5.0,793.080810546875,Click for Google StreetView
85,Geocortex.Gis.Geometries.Polygon,85,981 FORT FRASER RISE,"LOT 7, DISTRICT LOT 168, NEW WEST DISTRICT, PLAN LMP31744, GROUP 1",LAND,286028-007,023-665-220,No,LMP31744,No,RS1,RESIDENTIAL SINGLE DWELLING 1,4.0,948.6787109375,Click for Google StreetView
86,Geocortex.Gis.Geometries.Polygon,86,836 MUSKET TERR,"LOT 25, DISTRICT LOT 344, NEW WEST DISTRICT, PLAN NWP84882, GROUP 1",LAND,286018-025,015-889-564,No,84882,No,RS2,RESIDENTIAL SINGLE DWELLING 2,4.0,740.97216796875,Click for Google StreetView
87,Geocortex.Gis.Geometries.Polygon,87,775 CITADEL DR,"LOT 42, DISTRICT LOT 344, NEW WEST DISTRICT, PLAN LMP1329",LAND,286023-042,017-532-159,No,LMP1329,No,RS1,RESIDENTIAL SINGLE DWELLING 1,4.0,601.1064453125,Click for Google StreetView
88,Geocortex.Gis.Geometries.Polygon,88,753 CITADEL DR,"LOT 31, DISTRICT LOT 344, NEW WEST DISTRICT, PLAN LMP1329",LAND,286023-031,017-532-043,No,LMP1329,No,RS1,RESIDENTIAL SINGLE DWELLING 1,4.0,782.16943359375,Click for Google StreetView
90,Geocortex.Gis.Geometries.Polygon,90,962 FORT FRASER RISE,"LOT 13, DISTRICT LOT 168, NEW WEST DISTRICT, PLAN LMP19800",LAND,286027-013,019-042-370,No,LMP19800,No,RS1,RESIDENTIAL SINGLE DWELLING 1,4.0,767.544189453125,Click for Google StreetView
91,Geocortex.Gis.Geometries.Polygon,91,1121 FLETCHER WAY,"LOT 35, DISTRICT LOT 169, NEW WEST DISTRICT, PLAN NWP85450",LAND,226012-035,016-073-860,No,85450,No,RS2,RESIDENTIAL SINGLE DWELLING 2,4.0,491.214599609375,Click for Google StreetView
98,Geocortex.Gis.Geometries.Polygon,98,820 CITADEL DR,"LOT 35, DISTRICT LOT 344, NEW WEST DISTRICT, PLAN NWP84349",LAND,286017-035,015-673-979,No,84349,No,RS1,RESIDENTIAL SINGLE DWELLING 1,5.0,685.714599609375,Click for Google StreetView
100,Geocortex.Gis.Geometries.Polygon,100,1130 HOMESTEADER CRT,"LOT 48, DISTRICT LOT 344, NEW WEST DISTRICT, PLAN NWP79870",LAND,286009-048,012-487-465,No,79870,No,RS2,RESIDENTIAL SINGLE DWELLING 2,4.0,533.451416015625,Click for Google StreetView
106,Geocortex.Gis.Geometries.Polygon,106,2637 FORTRESS DR,"LOT 7, DISTRICT LOT 168&344, NEW WEST DISTRICT, PLAN LMP5352",LAND,286024-007,017-850-495,No,LMP5352,No,RS1,RESIDENTIAL SINGLE DWELLING 1,4.0,533.28173828125,Click for Google StreetView
107,Geocortex.Gis.Geometries.Polygon,107,936 FORT FRASER RISE,"LOT 6, DISTRICT LOT 168, NEW WEST DISTRICT, PLAN LMP19800",LAND,286027-006,019-042-264,No,LMP19800,No,RS1,RESIDENTIAL SINGLE DWELLING 1,4.0,525.594482421875,Click for Google StreetView
108,Geocortex.Gis.Geometries.Polygon,108,2642 FORTRESS DR,"LOT 35, DISTRICT LOT 344, NEW WEST DISTRICT, PLAN LMP5352",LAND,286024-035,017-851-050,No,LMP5352,No,RS1,RESIDENTIAL SINGLE DWELLING 1,4.0,729.60546875,Click for Google StreetView
109,Geocortex.Gis.Geometries.Polygon,109,872 CITADEL DR,"LOT 27, DISTRICT LOT 344, NEW WEST DISTRICT, PLAN NWP78118, GROUP 1",LAND,286017-027,011-395-303,No,78118,No,RS1,RESIDENTIAL SINGLE DWELLING 1,5.0,734.63818359375,Click for Google StreetView
113,Geocortex.Gis.Geometries.Polygon,113,859 MUSKET TERR,"LOT 12, DISTRICT LOT 344, NEW WEST DISTRICT, PLAN NWP84882",LAND,286018-012,015-889-432,No,84882,No,RS2,RESIDENTIAL SINGLE DWELLING 2,4.0,527.98681640625,Click for Google StreetView
114,Geocortex.Gis.Geometries.Polygon,114,2558 PALISADE CRES,"LOT 50, DISTRICT LOT 344, NEW WEST DISTRICT, PLAN LMP14897",LAND,286025-050,018-653-847,No,LMP14897,No,RS1,RESIDENTIAL SINGLE DWELLING 1,5.0,1213.0,Click for Google StreetView
117,Geocortex.Gis.Geometries.Polygon,117,2668 FORTRESS CRT,"LOT 54, DISTRICT LOT 344, NEW WEST DISTRICT, PLAN NWP84882",LAND,286018-054,015-889-866,No,84882,No,RS1,RESIDENTIAL SINGLE DWELLING 1,4.0,557.803955078125,Click for Google StreetView
118,Geocortex.Gis.Geometries.Polygon,118,832 BAILEY CRT,"LOT 22, DISTRICT LOT 344, NEW WEST DISTRICT, PLAN NWP82243, GROUP 1",LAND,286019-022,014-381-141,No,82243,No,RS2,RESIDENTIAL SINGLE DWELLING 2,4.0,669.03271484375,Click for Google StreetView
122,Geocortex.Gis.Geometries.Polygon,122,839 CITADEL DR,"LOT 33, DISTRICT LOT 344, NEW WEST DISTRICT, PLAN NWP84882",LAND,286018-033,015-889-645,No,84882,No,RS1,RESIDENTIAL SINGLE DWELLING 1,4.0,566.62939453125,Click for Google StreetView
123,Geocortex.Gis.Geometries.Polygon,123,1136 SETTLERS CRT,"LOT 30, DISTRICT LOT 344, NEW WEST DISTRICT, PLAN NWP79870",LAND,286009-030,012-487-287,No,79870,No,RS2,RESIDENTIAL SINGLE DWELLING 2,4.0,543.10986328125,Click for Google StreetView
127,Geocortex.Gis.Geometries.Polygon,127,948 FORT FRASER RISE,"LOT 9, DISTRICT LOT 168, NEW WEST DISTRICT, PLAN LMP19800",LAND,286027-009,019-042-311,No,LMP19800,No,RS1,RESIDENTIAL SINGLE DWELLING 1,4.0,525.554443359375,Click for Google StreetView
131,Geocortex.Gis.Geometries.Polygon,131,1109 FLETCHER WAY,"LOT 38, DISTRICT LOT 169, NEW WEST DISTRICT, PLAN NWP85450",LAND,226012-038,016-073-894,No,85450,No,RS2,RESIDENTIAL SINGLE DWELLING 2,4.0,490.504150390625,Click for Google StreetView
132,Geocortex.Gis.Geometries.Polygon,132,1107 CONFEDERATION DR,"LOT 5, DISTRICT LOT 344, NEW WEST DISTRICT, PLAN LMP22293, GROUP 1",LAND,285005-000,019-200-919,No,LMP22293,No,RS1,RESIDENTIAL SINGLE DWELLING 1,4.0,523.077880859375,Click for Google StreetView
133,Geocortex.Gis.Geometries.Polygon,133,2677 FORTRESS DR,"LOT 24, DISTRICT LOT 344, NEW WEST DISTRICT, PLAN LMP1329",LAND,286023-024,017-531-977,No,LMP1329,No,RS1,RESIDENTIAL SINGLE DWELLING 1,4.0,554.07568359375,Click for Google StreetView
139,Geocortex.Gis.Geometries.Polygon,139,1151 HOMESTEADER CRT,"LOT 53, DISTRICT LOT 344, NEW WEST DISTRICT, PLAN NWP79870, GROUP 1",LAND,286009-053,012-487-511,No,79870,No,RS2,RESIDENTIAL SINGLE DWELLING 2,4.0,789.698974609375,Click for Google StreetView
140,Geocortex.Gis.Geometries.Polygon,141,2691 PIONEER WAY,"LOT 82, DISTRICT LOT 344, NEW WEST DISTRICT, PLAN NWP81973",LAND,286009-082,014-380-200,No,81973,No,RS2,RESIDENTIAL SINGLE DWELLING 2,4.0,648.02734375,Click for Google StreetView
143,Geocortex.Gis.Geometries.Polygon,144,1116 FLETCHER WAY,"LOT 17, DISTRICT LOT 169, NEW WEST DISTRICT, PLAN NWP85450",LAND,226012-017,016-073-681,No,85450,No,RS2,RESIDENTIAL SINGLE DWELLING 2,4.0,508.818603515625,Click for Google StreetView
144,Geocortex.Gis.Geometries.Polygon,145,2670 PIONEER WAY,"LOT 102, DISTRICT LOT 344, NEW WEST DISTRICT, PLAN NWP81973, GROUP 1",LAND,286009-102,014-380-501,No,81973,No,RS2,RESIDENTIAL SINGLE DWELLING 2,4.0,524.58056640625,Click for Google StreetView
147,Geocortex.Gis.Geometries.Polygon,148,2547 PALISADE CRES,"LOT 53, DISTRICT LOT 344, NEW WEST DISTRICT, PLAN NWP84349",LAND,286017-053,015-674-321,No,84349,No,RS1,RESIDENTIAL SINGLE DWELLING 1,5.0,748.6396484375,Click for Google StreetView
149,Geocortex.Gis.Geometries.Polygon,150,752 CAPITAL CRT,"LOT 52, DISTRICT LOT 344, NEW WEST DISTRICT, PLAN LMP1329, GROUP 1",LAND,286023-052,017-532-256,No,LMP1329,No,RS1,RESIDENTIAL SINGLE DWELLING 1,5.0,1591.0,Click for Google StreetView
151,Geocortex.Gis.Geometries.Polygon,152,850 MUSKET TERR,"LOT 28, DISTRICT LOT 344, NEW WEST DISTRICT, PLAN NWP84882",LAND,286018-028,015-889-599,No,84882,No,RS2,RESIDENTIAL SINGLE DWELLING 2,4.0,481.478515625,Click for Google StreetView
152,Geocortex.Gis.Geometries.Polygon,153,2682 PIONEER WAY,"LOT 99, DISTRICT LOT 344, NEW WEST DISTRICT, PLAN NWP81973, GROUP 1",LAND,286009-099,014-380-455,No,81973,No,RS2,RESIDENTIAL SINGLE DWELLING 2,4.0,572.4658203125,Click for Google StreetView
153,Geocortex.Gis.Geometries.Polygon,154,2656 FORTRESS DR,"LOT 22, DISTRICT LOT 344, NEW WEST DISTRICT, PLAN LMP5352, GROUP 1",LAND,286024-022,017-850-797,No,LMP5352,No,RS1,RESIDENTIAL SINGLE DWELLING 1,4.0,784.530517578125,Click for Google StreetView
155,Geocortex.Gis.Geometries.Polygon,156,2645 FORTRESS DR,"LOT 11, DISTRICT LOT 168, NEW WEST DISTRICT, PLAN LMP5352, GROUP 1, & DL 344",LAND,286024-011,017-850-576,No,LMP5352,No,RS1,RESIDENTIAL SINGLE DWELLING 1,4.0,587.537841796875,Click for Google StreetView
156,Geocortex.Gis.Geometries.Polygon,157,1131 CONFEDERATION DR,"LOT 46, DISTRICT LOT 344, NEW WEST DISTRICT, PLAN NWP79870",LAND,286009-046,012-487-449,No,79870,No,RS1,RESIDENTIAL SINGLE DWELLING 1,4.0,554.416748046875,Click for Google StreetView
159,Geocortex.Gis.Geometries.Polygon,160,1096 COUTTS WAY,"LOT 8, DISTRICT LOT 169, NEW WEST DISTRICT, PLAN NWP87548",LAND,226000-308,016-849-311,No,87548,No,RS2,RESIDENTIAL SINGLE DWELLING 2,4.0,449.8642578125,Click for Google StreetView
161,Geocortex.Gis.Geometries.Polygon,162,967 FORT FRASER RISE,"LOT 1, DISTRICT LOT 168, NEW WEST DISTRICT, PLAN LMP31744",LAND,286028-001,023-665-165,No,LMP31744,No,RS1,RESIDENTIAL SINGLE DWELLING 1,4.0,897.669921875,Click for Google StreetView
162,Geocortex.Gis.Geometries.Polygon,163,1133 COUTTS WAY,"LOT 11, DISTRICT LOT 169, NEW WEST DISTRICT, PLAN NWP85450",LAND,226012-011,016-073-622,No,85450,No,RS2,RESIDENTIAL SINGLE DWELLING 2,4.0,449.60302734375,Click for Google StreetView
165,Geocortex.Gis.Geometries.Polygon,166,2657 FORTRESS DR,"LOT 17, DISTRICT LOT 168&344, NEW WEST DISTRICT, PLAN LMP5352",LAND,286024-017,017-850-649,No,LMP5352,No,RS1,RESIDENTIAL SINGLE DWELLING 1,4.0,609.575927734375,Click for Google StreetView
169,Geocortex.Gis.Geometries.Polygon,170,2670 FORTRESS DR,"LOT 10, DISTRICT LOT 344, NEW WEST DISTRICT, PLAN LMP1329",LAND,286023-010,017-531-837,No,LMP1329,No,RS1,RESIDENTIAL SINGLE DWELLING 1,4.0,638.651611328125,Click for Google StreetView
173,Geocortex.Gis.Geometries.Polygon,175,2617 FORTRESS CRT,"LOT 43, DISTRICT LOT 344, NEW WEST DISTRICT, PLAN NWP84882",LAND,286018-043,015-889-751,No,84882,No,RS1,RESIDENTIAL SINGLE DWELLING 1,4.0,533.418701171875,Click for Google StreetView
174,Geocortex.Gis.Geometries.Polygon,176,826 PALADIN TERR,"LOT 59, DISTRICT LOT 344, NEW WEST DISTRICT, PLAN NWP84349",LAND,286017-059,015-674-479,No,84349,No,RS1,RESIDENTIAL SINGLE DWELLING 1,5.0,717.81005859375,Click for Google StreetView
175,Geocortex.Gis.Geometries.Polygon,177,975 FORT FRASER RISE,"LOT 4, DISTRICT LOT 168, NEW WEST DISTRICT, PLAN LMP31744",LAND,286028-004,023-665-190,No,LMP31744,No,RS1,RESIDENTIAL SINGLE DWELLING 1,4.0,558.517822265625,Click for Google StreetView
176,Geocortex.Gis.Geometries.Polygon,178,820 MUSKET TERR,"LOT 22, DISTRICT LOT 344, NEW WEST DISTRICT, PLAN NWP84882, GROUP 1",LAND,286018-022,015-889-530,No,84882,No,RS2,RESIDENTIAL SINGLE DWELLING 2,4.0,526.345703125,Click for Google StreetView
177,Geocortex.Gis.Geometries.Polygon,179,1115 CONFEDERATION DR,"LOT 66, DISTRICT LOT 344, NEW WEST DISTRICT, PLAN NWP79870, GROUP 1",LAND,286009-066,012-487-643,No,79870,No,RS1,RESIDENTIAL SINGLE DWELLING 1,4.0,546.664794921875,Click for Google StreetView
181,Geocortex.Gis.Geometries.Polygon,183,2693 FORTRESS DR,"LOT 16, DISTRICT LOT 344, NEW WEST DISTRICT, PLAN LMP1329, GROUP 1",LAND,286023-016,017-531-896,No,LMP1329,No,RS1,RESIDENTIAL SINGLE DWELLING 1,4.0,516.52392578125,Click for Google StreetView
182,Geocortex.Gis.Geometries.Polygon,184,753 CANNON GREEN,"LOT 7, DISTRICT LOT 344, NEW WEST DISTRICT, PLAN LMP1329",LAND,286023-007,017-531-802,No,LMP1329,No,RS1,RESIDENTIAL SINGLE DWELLING 1,4.0,910.607177734375,Click for Google StreetView
189,Geocortex.Gis.Geometries.Polygon,192,976 FORT FRASER RISE,"LOT 16, DISTRICT LOT 168, NEW WEST DISTRICT, PLAN LMP19800",LAND,286027-016,019-042-400,No,LMP19800,No,RS1,RESIDENTIAL SINGLE DWELLING 1,4.0,749.897216796875,Click for Google StreetView
190,Geocortex.Gis.Geometries.Polygon,193,762 CANNON GREEN,"LOT 4, DISTRICT LOT 344, NEW WEST DISTRICT, PLAN LMP1329",LAND,286023-004,017-531-772,No,LMP1329,No,RS1,RESIDENTIAL SINGLE DWELLING 1,4.0,747.15380859375,Click for Google StreetView
192,Geocortex.Gis.Geometries.Polygon,195,2589 PALISADE CRES,"LOT 69, DISTRICT LOT 344, NEW WEST DISTRICT, PLAN NWP84349, GROUP 1",LAND,286017-069,015-674-649,No,84349,No,RS1,RESIDENTIAL SINGLE DWELLING 1,5.0,747.08349609375,Click for Google StreetView
199,Geocortex.Gis.Geometries.Polygon,202,2675 FORTRESS CRT,"LOT 49, DISTRICT LOT 344, NEW WEST DISTRICT, PLAN NWP84882",LAND,286018-049,015-889-815,No,84882,No,RS1,RESIDENTIAL SINGLE DWELLING 1,4.0,546.298583984375,Click for Google StreetView
200,Geocortex.Gis.Geometries.Polygon,203,886 CITADEL DR,"LOT 4, DISTRICT LOT 344, NEW WEST DISTRICT, PLAN NWP78118",LAND,286017-004,011-395-061,No,78118,No,RS1,RESIDENTIAL SINGLE DWELLING 1,5.0,669.40625,Click for Google StreetView
201,Geocortex.Gis.Geometries.Polygon,204,961 FORT FRASER RISE,"LOT B, DISTRICT LOT 168, NEW WEST DISTRICT, PLAN LMP31747",LAND,286027-200,023-665-637,No,LMP31747,No,RS1,RESIDENTIAL SINGLE DWELLING 1,4.0,1734.0,Click for Google StreetView
202,Geocortex.Gis.Geometries.Polygon,205,1127 SETTLERS CRT,"LOT 25, DISTRICT LOT 344, NEW WEST DISTRICT, PLAN NWP79870",LAND,286009-025,012-487-236,No,79870,No,RS2,RESIDENTIAL SINGLE DWELLING 2,4.0,749.1826171875,Click for Google StreetView
204,Geocortex.Gis.Geometries.Polygon,207,1072 COUTTS WAY,"LOT 13, DISTRICT LOT 169, NEW WEST DISTRICT, PLAN NWP87548",LAND,226000-313,016-849-400,No,87548,No,RS2,RESIDENTIAL SINGLE DWELLING 2,4.0,375.957275390625,Click for Google StreetView
205,Geocortex.Gis.Geometries.Polygon,208,808 CITADEL DR,"LOT 38, DISTRICT LOT 344, NEW WEST DISTRICT, PLAN NWP84349, GROUP 1",LAND,286017-038,015-674-118,No,84349,No,RS1,RESIDENTIAL SINGLE DWELLING 1,5.0,720.570556640625,Click for Google StreetView
206,Geocortex.Gis.Geometries.Polygon,209,2622 HOMESTEADER WAY,"LOT 59, DISTRICT LOT 344, NEW WEST DISTRICT, PLAN NWP79870, GROUP 1",LAND,286009-059,012-487-571,No,79870,No,RS2,RESIDENTIAL SINGLE DWELLING 2,4.0,481.357666015625,Click for Google StreetView
212,Geocortex.Gis.Geometries.Polygon,215,2709 ANVIL GREEN,"LOT 32, DISTRICT LOT 344, NEW WEST DISTRICT, PLAN LMP5352",LAND,286024-032,017-851-025,No,LMP5352,No,RS1,RESIDENTIAL SINGLE DWELLING 1,4.0,572.563232421875,Click for Google StreetView
213,Geocortex.Gis.Geometries.Polygon,216,2513 PALISADE CRES,"LOT 24, DISTRICT LOT 344, NEW WEST DISTRICT, PLAN NWP78118",LAND,286017-024,011-395-273,No,78118,No,RS1,RESIDENTIAL SINGLE DWELLING 1,5.0,681.27001953125,Click for Google StreetView
